kic,teff,e_teff,numax,e_numax,dnu,e_dnu
2570172,4506.10888671875,104.392425537109,74.33,0.28,7,0.09
2570244,4559,100,106.31,0.33,9.17,0.27
2438140,4543,100,71.37,0.24,6.72,0.1
2438333,4511.212890625,99.3185577392578,61.07,0.14,6.11,0.08
2437957,4602,100,92.71,0.38,8.36,0.2
2436824,4324,100,34.26,0.13,3.85,0.04
2435987,4428.05322265625,97.4774703979492,36.26,0.2,4.19,0.04
2436209,4498.1865234375,103.077575683594,57.62,0.24,5.76,0.08
2436814,4329.88330078125,89.4703216552734,25.56,0.04,3.11,0.03
2436900,4428.44189453125,100.87427520752,35.67,0.18,4.02,0.04
2436688,4539.27880859375,106.488090515137,76.06,0.39,7.22,0.1
2438038,4450,100,62.56,0.21,6.13,0.07
2437781,4456,100,85.15,0.29,7.74,0.16
2436097,4365,100,40.53,0.22,4.54,0.04
2436540,4473.4296875,103.77645111084,57.31,0.28,5.82,0.07
2437972,4543,100,84.66,0.29,7.84,0.13
2569618,4486.1279296875,102.757751464844,56.01,0.16,5.68,0.07
2570094,4485,100,68.39,0.25,6.45,0.08
2437976,4525,100,89.83,0.35,8.16,0.15
2437325,4557,100,93.5,0.35,8.45,0.21
2437933,4610,100,107.72,0.33,9.39,0.32
2437653,4559.1396484375,96.6343078613281,74.2,0.26,6.96,0.1
2437240,4440,100,45.58,0.22,4.87,0.05
2436458,4340,100,35.87,0.24,4.14,0.03
2437402,4414,100,46.09,0.26,4.82,0.05
2437488,4452,100,65.3,0.19,6.31,0.09
