kic,teff,e_teff,numax,e_numax,dnu,e_dnu,d02,e_d02
5112734,4657.4951171875,79.91128540039062,40.49,0.24,4.14,0.03,0.53,0.01
5023732,4593.3740234375,78.48566436767578,27.2,0.26,3.08,0.03,0.41,0.01
5024143,4909.419921875,102.70401000976562,119.76,1.13,9.64,0.03,1.22,0.04
5024312,4816.0,50.0,94.8,0.63,8.01,0.03,0.98,0.02
5024297,4673.0,50.0,46.29,0.02,4.57,0.02,0.58,0.01
5024240,4990.69677734375,108.14615631103516,150.29,2.19,11.97,0.03,1.44,0.03
5024583,4664.8662109375,91.60956573486328,37.59,0.21,3.89,0.02,0.52,0.01
5111718,4927.34765625,112.07392120361328,134.26,0.62,10.5,0.03,1.29,0.02
5024405,4775.0,50.0,95.36,0.89,8.25,0.01,1.03,0.02
5111940,4740.2255859375,92.57675170898438,53.12,0.33,5.14,0.03,0.66,0.01
5023931,4728.306640625,92.26130676269531,51.14,0.62,4.83,0.03,0.64,0.02
5112072,4926.296875,105.05352020263672,125.51,0.54,10.02,0.03,1.25,0.02
5112744,4690.94677734375,80.99231719970703,43.9,0.27,4.41,0.03,0.56,0.01
5112948,4735.85791015625,92.1777572631836,42.75,0.29,4.25,0.02,0.56,0.01
5023845,4845.0,50.0,108.47,0.57,8.87,0.04,1.09,0.02
5024404,4802.3212890625,94.61122131347656,47.0,0.03,4.78,0.04,0.67,0.03
4937576,4633.13427734375,79.58717346191406,32.94,0.26,3.51,0.03,0.46,0.01
5024512,4826.0,50.0,73.56,0.39,6.65,0.04,0.82,0.01
5113041,4682.15234375,81.12242126464844,37.82,0.26,3.99,0.03,0.52,0.01
5113441,4944.73291015625,104.599609375,155.35,0.91,11.7,0.02,1.41,0.02
